".rownames","dirty.fctr","dirty.fctr.predict.Low.cor.X.glm.prob","dirty.fctr.predict.Low.cor.X.glm","dirty.fctr.predict.Low.cor.X.glm.accurate"
"290","N",0.0793432053505926,"N",TRUE
"294","N",0.0585367006610929,"N",TRUE
"295","N",0.424123949524855,"Y",FALSE
"296","N",0.939059416569672,"Y",FALSE
"297","N",0.171754866477859,"N",TRUE
"30","Y",0.953037981365569,"Y",TRUE
"300","N",0.260272351047956,"N",TRUE
"301","N",0.40498639837803,"Y",FALSE
"303","N",0.00134251106320349,"N",TRUE
"304","N",0.226224584586559,"N",TRUE
"305","N",0.721687491947896,"Y",FALSE
"313","N",0.248838890333722,"N",TRUE
"316","N",0.00295928972647825,"N",TRUE
"317","N",0.000199687650153034,"N",TRUE
"320","N",0.609586260112836,"Y",FALSE
"321","N",0.225465171522818,"N",TRUE
"324","N",0.105153323031619,"N",TRUE
"327","N",0.0583180388311344,"N",TRUE
"330","N",0.0442219326492533,"N",TRUE
"331","N",0.150079722707119,"N",TRUE
"333","N",0.113977446776531,"N",TRUE
"334","N",0.11323821900939,"N",TRUE
"337","N",0.262082642810284,"N",TRUE
"338","N",0.137887524599578,"N",TRUE
"339","N",0.584611586171182,"Y",FALSE
"34","Y",0.543381991369556,"Y",TRUE
"340","N",0.635020765503039,"Y",FALSE
"347","N",0.681736846036902,"Y",FALSE
"35","Y",0.000103739067190931,"N",FALSE
"350","N",0.917913449589164,"Y",FALSE
"352","N",0.545764693203435,"Y",FALSE
"355","N",0.901891326752814,"Y",FALSE
"356","N",0.781171899393982,"Y",FALSE
"357","N",0.743681342024196,"Y",FALSE
"360","N",0.0886311361297528,"N",TRUE
"363","N",0.899148400905981,"Y",FALSE
"366","N",0.866397142734455,"Y",FALSE
"373","N",9.7477923599199e-11,"N",TRUE
"376","N",0.225207690629776,"N",TRUE
"377","N",0.226163147921667,"N",TRUE
"38","Y",0.931413858012951,"Y",TRUE
"380","N",0.668237455379237,"Y",FALSE
"381","N",0.294028908867746,"N",TRUE
"382","N",0.354805786324771,"N",TRUE
"384","N",0.208718310867372,"N",TRUE
"386","N",0.114778501804029,"N",TRUE
"391","N",0.362888871262241,"N",TRUE
"393","N",0.634269311696436,"Y",FALSE
"394","N",0.775470538397616,"Y",FALSE
"400","N",0.373012229276308,"N",TRUE
"401","N",0.517484693708351,"Y",FALSE
"403","N",0.714492271564515,"Y",FALSE
"407","N",0.831981354424239,"Y",FALSE
"410","N",0.547668682462036,"Y",FALSE
"412","N",0.173989387592235,"N",TRUE
"417","N",0.170064576917856,"N",TRUE
"422","N",0.452514349931754,"Y",FALSE
"423","N",0.723702114269615,"Y",FALSE
"425","N",0.218984982293898,"N",TRUE
"426","N",0.773915951603361,"Y",FALSE
"430","N",0.143400963138508,"N",TRUE
"431","N",0.5248740345005,"Y",FALSE
"434","N",0.449451751783794,"Y",FALSE
"436","N",0.416335428834414,"Y",FALSE
"442","N",0.00375867170050443,"N",TRUE
"443","N",0.480446418973077,"Y",FALSE
"445","N",0.920832645991053,"Y",FALSE
"446","N",0.945665077138038,"Y",FALSE
"447","N",0.327241199008615,"N",TRUE
"45","Y",0.942182828687493,"Y",TRUE
"450","N",0.178651768516832,"N",TRUE
"456","N",0.39312591273953,"N",TRUE
"457","N",0.949858289574195,"Y",FALSE
"458","N",0.988917531611139,"Y",FALSE
"461","N",0.476601832509558,"Y",FALSE
"465","N",0.48409869175272,"Y",FALSE
"468","N",0.200122898382863,"N",TRUE
"47","Y",0.852893330557565,"Y",TRUE
"470","N",0.992419520089009,"Y",FALSE
"472","N",0.82560424111499,"Y",FALSE
"474","N",0.18969589463844,"N",TRUE
"475","N",0.0156657122088464,"N",TRUE
"477","N",0.872567663098548,"Y",FALSE
"480","N",0.830248972459429,"Y",FALSE
"482","N",0.457380177341171,"Y",FALSE
"484","N",0.200859342857884,"N",TRUE
"485","N",0.303471737470491,"N",TRUE
"488","N",0.973329610071081,"Y",FALSE
"490","N",0.217151451110447,"N",TRUE
"491","N",0.776338353796062,"Y",FALSE
"494","N",0.955206069474441,"Y",FALSE
"496","N",0.55654672075487,"Y",FALSE
"499","N",0.655354658231804,"Y",FALSE
"5","Y",0.515786204876637,"Y",TRUE
"50","Y",0.522980709949372,"Y",TRUE
"500","N",0.719757795519976,"Y",FALSE
"509","N",0.166213335468042,"N",TRUE
"513","N",0.785272195889005,"Y",FALSE
"515","N",0.445977451766026,"Y",FALSE
"518","N",0.331927541509422,"N",TRUE
"52","Y",0.561949064774962,"Y",TRUE
"520","N",0.967508621037597,"Y",FALSE
"526","N",0.662746609345043,"Y",FALSE
"527","N",0.0917471775630689,"N",TRUE
"529","N",0.787177479937951,"Y",FALSE
"53","Y",0.641031258961994,"Y",TRUE
"531","N",0.470908963411636,"Y",FALSE
"532","N",0.158371200856006,"N",TRUE
"534","N",0.0971589942332668,"N",TRUE
"536","N",0.270948946307762,"N",TRUE
"538","N",0.0590743176303302,"N",TRUE
"54","Y",0.469567531417107,"Y",TRUE
"541","N",0.061657935077726,"N",TRUE
"543","N",0.0987443786642984,"N",TRUE
"545","N",0.689957848349488,"Y",FALSE
"546","N",0.33952097041522,"N",TRUE
"59","Y",0.117900532407002,"N",FALSE
"6","Y",0.841551124719861,"Y",TRUE
"60","Y",0.84411171005742,"Y",TRUE
"67","Y",0.491312236755546,"Y",TRUE
"69","Y",0.0540321638449282,"N",FALSE
"70","Y",0.572811140753135,"Y",TRUE
"72","Y",0.512384752391765,"Y",TRUE
"74","Y",0.769606986187583,"Y",TRUE
"76","Y",0.879796385390058,"Y",TRUE
"77","Y",0.872798101347428,"Y",TRUE
"78","Y",0.0965349934485866,"N",FALSE
"80","Y",0.620602250911151,"Y",TRUE
"83","Y",0.919719573905425,"Y",TRUE
"87","Y",0.136246699353246,"N",FALSE
"88","Y",0.0438528573242722,"N",FALSE
"89","Y",0.667264066493686,"Y",TRUE
"9","Y",0.610065978162567,"Y",TRUE
"90","Y",0.0985909219002129,"N",FALSE
"97","Y",0.0464656672622191,"N",FALSE
